"","X","alpha","birthdate","deathdate","index","locx","locy","mutation_rate","mutations","parent_index","proliferation_rate","norm_locx","norm_locy","sampled"
"1",26,0.5,3.125,13.4583333333333,26,500,500,0.2,"[2]",8,1,-0.5,-2.5,TRUE
"2",38,0.5,3.45833333333333,13.4583333333333,38,499,500,0.2,"[0, 7]",28,1,-1.5,-2.5,TRUE
"3",116,0.5,4.75,13.4583333333333,116,499,506,0.2,"[0, 1]",77,1,-1.5,3.5,TRUE
"4",124,0.5,4.91666666666667,13.4583333333333,124,501,501,0.2,"[2]",57,1,0.5,-1.5,TRUE
"5",156,0.5,5.20833333333334,13.4583333333333,156,495,505,0.2,"[0, 1, 4, 10, 25]",150,1,-5.5,2.5,TRUE
"6",169,0.5,5.41666666666667,13.4583333333333,169,496,498,0.2,"[0]",114,1,-4.5,-4.5,TRUE
"7",196,0.5,5.87500000000001,13.4583333333333,196,496,504,0.2,"[0, 1, 4, 10, 35]",112,1,-4.5,1.5,TRUE
"8",206,0.5,6.00000000000001,13.4583333333333,206,504,501,0.2,"[2]",178,1,3.5,-1.5,TRUE
"9",270,0.5,6.41666666666668,13.4583333333333,270,505,501,0.2,"[2, 40]",242,1,4.5,-1.5,TRUE
"10",296,0.5,6.62500000000001,13.4583333333333,296,495,497,0.2,"[0, 14]",254,1,-5.5,-5.5,TRUE
"11",298,0.5,6.62500000000001,13.4583333333333,298,502,498,0.2,"[2, 41]",209,1,1.5,-4.5,TRUE
"12",377,0.5,7.08333333333335,13.4583333333333,377,504,503,0.2,"[0, 1, 3, 21, 24, 45]",223,1,3.5,0.5,TRUE
"13",402,0.5,7.25000000000002,13.4583333333333,402,503,506,0.2,"[0, 1, 3, 21, 27, 66, 81]",352,1,2.5,3.5,TRUE
"14",456,0.5,7.54166666666669,13.4583333333333,456,498,510,0.2,"[0, 1, 34, 93]",420,1,-2.5,7.5,TRUE
"15",515,0.5,7.91666666666669,13.4583333333333,515,494,493,0.2,"[0, 14, 65]",492,1,-6.5,-9.5,TRUE
"16",614,0.5,8.45833333333335,13.4583333333333,614,509,499,0.2,"[2, 40, 53, 62, 130]",611,1,8.5,-3.5,TRUE
"17",632,0.5,8.54166666666668,13.4583333333333,632,496,511,0.2,"[0, 1, 34, 129]",610,1,-4.5,8.5,TRUE
"18",794,0.5,9.33333333333334,13.4583333333333,794,497,492,0.2,"[0, 12, 47, 133, 162]",766,1,-3.5,-10.5,TRUE
"19",828,0.5,9.5,13.4583333333333,828,489,504,0.2,"[0, 1, 4, 10, 75]",722,1,-11.5,1.5,TRUE
"20",906,0.5,9.83333333333333,13.4583333333333,906,496,492,0.2,"[0, 31, 146]",707,1,-4.5,-10.5,TRUE
"21",908,0.5,9.83333333333333,13.4583333333333,908,496,514,0.2,"[0, 1, 34, 129, 148]",795,1,-4.5,11.5,TRUE
"22",943,0.5,9.95833333333333,13.4583333333333,943,500,515,0.2,"[0, 1, 15, 20, 37, 202]",872,1,-0.5,12.5,TRUE
"23",1108,0.5,10.6666666666667,13.4583333333333,1108,505,513,0.2,"[0, 1, 15, 20, 37, 125, 196]",924,1,4.5,10.5,TRUE
"24",1136,0.5,10.75,13.4583333333333,1136,503,490,0.2,"[0, 70, 182, 215]",1059,1,2.5,-12.5,TRUE
"25",1168,0.5,10.8333333333333,13.4583333333333,1168,508,511,0.2,"[0, 1, 15, 20, 37, 120, 173]",1111,1,7.5,8.5,TRUE
"26",1196,0.5,10.9166666666666,13.4583333333333,1196,501,517,0.2,"[0, 1, 15, 20, 37, 200]",995,1,0.5,14.5,TRUE
"27",1226,0.5,11,13.4583333333333,1226,489,508,0.2,"[0, 1, 5, 91, 153, 164]",1037,1,-11.5,5.5,TRUE
"28",1324,0.5,11.4166666666666,13.4583333333333,1324,506,490,0.2,"[0, 150, 260]",1306,1,5.5,-12.5,TRUE
"29",1332,0.5,11.4166666666666,13.4583333333333,1332,509,508,0.2,"[0, 1, 15, 20, 37, 67, 100, 121, 255]",1235,1,8.5,5.5,TRUE
"30",1352,0.5,11.5,13.4583333333333,1352,508,509,0.2,"[0, 1, 15, 20, 37, 67, 100, 121, 177]",1151,1,7.5,6.5,TRUE
"31",1360,0.5,11.5416666666666,13.4583333333333,1360,508,492,0.2,"[2, 13]",1122,1,7.5,-10.5,TRUE
"32",1368,0.5,11.5416666666666,13.4583333333333,1368,486,503,0.2,"[0, 1, 4, 10, 75, 206, 262]",1277,1,-14.5,0.5,TRUE
"33",1378,0.5,11.5833333333333,13.4583333333333,1378,508,512,0.2,"[0, 1, 15, 20, 37, 120, 232]",1144,1,7.5,9.5,TRUE
"34",1423,0.5,11.75,13.4583333333333,1423,510,507,0.2,"[2, 40, 53, 62, 84, 142]",773,1,9.5,4.5,TRUE
"35",1461,0.5,11.875,13.4583333333333,1461,485,501,0.2,"[0, 1, 4, 10, 75, 261]",1432,1,-15.5,-1.5,TRUE
"36",1514,0.5,12.0833333333333,13.4583333333333,1514,500,518,0.2,"[0, 1, 15, 20, 37, 200]",1195,1,-0.5,15.5,TRUE
"37",1645,0.5,12.5,13.4583333333333,1645,513,494,0.2,"[2, 13, 30, 54, 82, 116, 123, 337]",1546,1,12.5,-8.5,TRUE
"38",1665,0.5,12.5416666666666,13.4583333333333,1665,489,490,0.2,"[0, 14, 90]",1239,1,-11.5,-12.5,TRUE
"39",1666,0.5,12.5416666666666,13.4583333333333,1666,490,491,0.2,"[0, 14, 90]",1239,1,-10.5,-11.5,TRUE
"40",1676,0.5,12.5833333333333,13.4583333333333,1676,500,519,0.2,"[0, 1, 15, 20, 37]",1614,1,-0.5,16.5,TRUE
