,alpha,birthdate,deathdate,index,locx,locy,mutation_rate,mutations,parent_index,proliferation_rate
0,0.5,0.0,0.7083333333333331,0,500,500,0.5,[],0,1
1,0.5,0.7083333333333331,1.2083333333333333,1,500,501,0.5,[0],0,1
2,0.5,0.7083333333333331,2.125000000000001,2,500,500,0.5,[2],0,1
3,0.5,1.2083333333333333,1.7083333333333341,3,499,502,0.5,[0],1,1
4,0.5,1.2083333333333333,3.2916666666666634,4,500,501,0.5,[],1,1
5,0.5,1.7083333333333341,2.125000000000001,5,500,502,0.5,"[0, 3, 4]",3,1
6,0.5,1.7083333333333341,1.9583333333333346,6,499,502,0.5,"[0, 1]",3,1
7,0.5,1.9583333333333346,5.041666666666668,7,498,503,0.5,"[0, 72, 73]",6,1
8,0.5,1.9583333333333346,2.2500000000000004,8,499,502,0.5,"[0, 1]",6,1
9,0.5,2.125000000000001,3.2916666666666634,9,500,499,0.5,[12],2,1
10,0.5,2.125000000000001,2.624999999999999,10,500,500,0.5,"[2, 5]",2,1
11,0.5,2.125000000000001,2.9166666666666647,11,501,502,0.5,"[0, 3, 7]",5,1
12,0.5,2.125000000000001,3.7916666666666616,12,500,502,0.5,"[0, 4, 23, 24]",5,1
13,0.5,2.2500000000000004,2.999999999999998,13,500,503,0.5,"[0, 1, 8]",8,1
14,0.5,2.2500000000000004,3.33333333333333,14,499,502,0.5,"[0, 1, 13]",8,1
15,0.5,2.624999999999999,2.8333333333333317,15,499,499,0.5,"[2, 6]",10,1
16,0.5,2.624999999999999,3.6249999999999956,16,500,500,0.5,"[2, 5]",10,1
17,0.5,2.8333333333333317,4.041666666666661,17,499,498,0.5,[2],15,1
18,0.5,2.8333333333333317,3.5416666666666625,18,499,499,0.5,"[2, 6, 18]",15,1
19,0.5,2.9166666666666647,3.1249999999999973,19,502,503,0.5,"[0, 3, 7]",11,1
20,0.5,2.9166666666666647,3.499999999999996,20,501,502,0.5,"[0, 3, 16, 17]",11,1
21,0.5,2.999999999999998,3.0416666666666643,21,500,504,0.5,"[0, 1, 9, 10]",13,1
22,0.5,2.999999999999998,13.333333333333279,22,500,503,0.5,"[0, 1, 8]",13,1
23,0.5,3.0416666666666643,3.7083333333333286,23,499,505,0.5,"[0, 1, 9, 22]",21,1
24,0.5,3.0416666666666643,3.33333333333333,24,500,504,0.5,"[0, 1, 10, 14, 15]",21,1
25,0.5,3.1249999999999973,3.2083333333333304,25,502,504,0.5,"[0, 3, 7, 11]",19,1
26,0.5,3.1249999999999973,4.958333333333334,26,502,503,0.5,"[0, 3, 7, 64]",19,1
